price,postal_code,rooms,area,state,has_open_fire,property_type,property_subtype,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,is_luxurious
249000,9041,4,225,5,-1,1,11,3,-1,1,1,2,4,0
219000,9000,1,67,4,-1,1,11,2,0,-1,-1,2,4,0
495000,9000,3,138,1,-1,1,11,2,-1,1,1,2,4,0
460000,9000,4,140,3,-1,1,11,2,-1,0,0,2,4,0
439000,9040,3,102,0,-1,1,11,2,0,1,1,0,0,0
635000,9031,3,165,3,-1,1,11,3,-1,1,1,2,4,0
329000,9000,4,123,4,-1,1,11,2,-1,1,1,0,0,0
440000,9040,3,286,0,-1,2,9,2,0,1,0,1,0,0
454750,9030,5,173,2,-1,1,11,3,0,1,1,0,3,0
495000,9032,4,160,4,-1,1,11,3,-1,1,1,2,4,0
495000,9032,4,160,4,-1,1,11,3,-1,1,1,2,4,0
180000,9000,3,82,5,-1,1,11,2,-1,-1,-1,2,4,0
